strategy,scenario,deficit_tons,mad,min_service_ratio
PriorityMode,SevereWeather,6143.962766076978,0.1449177233734306,0.4825116338916172
PriorityMode,Baseline,930.9539570222889,0.1932236311645741,0.8363534987454697
PriorityMode,SevereWeather,6143.962766076978,0.1449177233734306,0.4825116338916172
PriorityMode,Baseline,930.9539570222889,0.1932236311645741,0.8363534987454697
PriorityMode,VehicleFailure,2260.8052577890976,0.16424008648988794,0.7109004739336493
PriorityMode,VehicleFailure,2260.8052577890976,0.16424008648988794,0.7109004739336493
PriorityMode,SevereWeather,6143.962766076978,0.1449177233734306,0.4825116338916172
PriorityMode,Baseline,930.9539570222889,0.1932236311645741,0.8363534987454697
PriorityMode,SevereWeather,6143.962766076978,0.1449177233734306,0.4825116338916172
PriorityMode,Baseline,930.9539570222889,0.1932236311645741,0.8363534987454697
PriorityMode,Baseline,930.9539570222889,0.1932236311645741,0.8363534987454697
PriorityMode,Baseline,930.9539570222889,0.1932236311645741,0.8363534987454697
PriorityMode,Baseline,930.9539570222889,0.1932236311645741,0.8363534987454697
PriorityMode,Baseline,930.9539570222889,0.1932236311645741,0.8363534987454697
PriorityMode,SevereWeather,6143.962766076978,0.1449177233734306,0.4825116338916172
PriorityMode,SevereWeather,6143.962766076978,0.1449177233734306,0.4825116338916172
PriorityMode,Baseline,930.9539570222889,0.1932236311645741,0.8363534987454697
PriorityMode,SevereWeather,6143.962766076978,0.1449177233734306,0.4825116338916172
PriorityMode,VehicleFailure,2260.8052577890976,0.16424008648988794,0.7109004739336493
PriorityMode,Baseline,930.9539570222889,0.1932236311645741,0.8363534987454697
PriorityMode,VehicleFailure,2260.8052577890976,0.16424008648988794,0.7109004739336493
PriorityMode,Baseline,930.9539570222889,0.1932236311645741,0.8363534987454697
PriorityMode,WasteSpike,3905.5834128203524,0.13801687940326723,0.5973953562467641
PriorityMode,VehicleFailure,2260.8052577890976,0.16424008648988794,0.7109004739336493
PriorityMode,Baseline,930.9539570222889,0.1932236311645741,0.8363534987454697
PriorityMode,SevereWeather,6143.962766076978,0.1449177233734306,0.4825116338916172
PriorityMode,Baseline,930.9539570222889,0.1932236311645741,0.8363534987454697
PriorityMode,SevereWeather,6143.962766076978,0.1449177233734306,0.4825116338916172
PriorityMode,SevereWeather,6143.962766076978,0.1449177233734306,0.4825116338916172
PriorityMode,Baseline,930.9539570222889,0.1932236311645741,0.8363534987454697
PriorityMode,VehicleFailure,2260.8052577890976,0.16424008648988794,0.7109004739336493
PriorityMode,SevereWeather,6143.962766076978,0.1449177233734306,0.4825116338916172
